time,bandwidth(bps),delay(ms),loss(percent),jitter(ms^2)
1537402583.2062,99448524.410882,0.211,0,0.075
1537402643.2062,99459382.406533,0.183,0,0.045
1537402703.2062,100482625.074779,0.205,0,0.099
1537402763.2062,100484229.707456,0.180,0,0.062
1537402823.2062,101022834.396623,0.199,0,0.080
1537402883.2062,100467467.417400,0.166,0,0.039
1537402943.2062,99453810.868068,0.222,0,0.095
1537403003.2062,99965607.792131,0.215,0,0.081
1537403063.2062,99458979.338124,0.197,0,0.061
1537403123.2062,100474698.462300,0.192,0,0.067
1537403183.2062,101009398.056295,0.185,0,0.104
1537403243.2062,101022400.910495,0.178,0,0.062
1537403303.2062,99420323.667199,0.207,0,0.072
1537403363.2062,100476398.627293,0.222,0,0.105
1537403423.2062,100498769.536234,0.236,0,0.115
1537403483.2062,100474674.516725,0.185,0,0.088
1537403543.2062,101023942.211408,0.163,0,0.052
1537403603.2062,100501404.881437,0.183,0,0.061
1537403663.2062,100525112.923938,0.203,0,0.088
1537403723.2062,101528509.823699,0.183,0,0.093
1537403783.2062,99947931.204109,0.200,0,0.062
1537403843.2062,101013226.326771,0.201,0,0.081
1537403903.2062,100485930.195029,0.239,0,0.072
1537403963.2062,100998877.826345,0.189,0,0.058
1537404023.2062,100546224.858809,0.186,0,0.078
1537404083.2062,99433331.938719,0.183,0,0.055
1537404143.2062,100472375.794674,0.195,0,0.053
1537404203.2062,99431649.438735,0.210,0,0.110
1537404263.2062,101520790.767073,0.208,0,0.100
1537404323.2062,99459785.478209,0.168,0,0.072
1537404383.2062,100487846.306327,0.183,0,0.061
1537404443.2062,100999888.828774,0.188,0,0.081
1537404503.2062,100502818.441721,0.216,0,0.093
1537404563.2062,99953028.662102,0.226,0,0.087
1537404623.2062,99478843.929144,0.236,0,0.100
1537404683.2062,99432739.502652,0.182,0,0.109
1537404743.2062,100488540.914718,0.206,0,0.064
1537404803.2062,99946406.831686,0.224,0,0.072
1537404863.2062,100457388.790116,0.193,0,0.081
1537404923.2062,99967609.309292,0.212,0,0.112
1537404983.2062,101541797.093136,0.201,0,0.064
1537405043.2062,100444464.294576,0.221,0,0.066
1537405103.2062,99461065.845204,0.232,0,0.083
1537405163.2062,99451724.665365,0.219,0,0.088
1537405223.2062,99449354.086712,0.208,0,0.119
1537405283.2062,100974764.196953,0.201,0,0.065
1537405343.2062,100470172.951407,0.163,0,0.060
1537405403.2062,100488229.537355,0.207,0,0.048
1537405463.2062,100996663.320321,0.197,0,0.064
1537405523.2062,100985159.080124,0.206,0,0.062
1537405583.2062,101014526.560116,0.203,0,0.077
1537405643.2062,99447149.549985,0.211,0,0.068
1537405703.2062,99458078.373493,0.232,0,0.086
1537405763.2062,100470771.540563,0.234,0,0.109
1537405823.2062,100485211.672131,0.237,0,0.083
1537405883.2062,100504735.197144,0.207,0,0.043
1537405943.2062,100498290.397409,0.185,0,0.094
1537406003.2062,100468137.801627,0.198,0,0.074
1537406063.2062,100484325.508043,0.193,0,0.060
1537406123.2062,100489930.160310,0.202,0,0.069
1537406183.2062,100459327.751326,0.181,0,0.043
1537406243.2062,101526283.517642,0.197,0,0.079
1537406303.2062,101006051.566986,0.166,0,0.059
1537406363.2062,99442361.538077,0.184,0,0.059
1537406423.2062,99432431.438687,0.208,0,0.092
1537406483.2062,100496397.843716,0.200,0,0.055
1537406543.2062,100999407.396522,0.198,0,0.074
1537406603.2062,101021919.263604,0.202,0,0.087
1537406663.2062,100484636.861212,0.235,0,0.075
1537406723.2062,99974281.612053,0.211,0,0.047
1537406783.2062,100474075.881062,0.175,0,0.042
1537406843.2062,99455874.700385,0.195,0,0.048
1537406903.2062,99976474.134512,0.171,0,0.071
1537406963.2062,100494169.992106,0.194,0,0.085
1537407023.2062,100469861.687864,0.199,0,0.077
1537407083.2062,99459074.177456,0.169,0,0.066
1537407143.2062,99459477.246633,0.208,0,0.063
1537407203.2062,99982790.089949,0.200,0,0.069
1537407263.2062,99461563.774605,0.208,0,0.086
1537407323.2062,99457983.536060,0.249,0,0.083
1537407383.2062,99445039.923563,0.230,0,0.082
1537407443.2062,99974686.744829,0.212,0,0.070
1537407503.2062,100495870.816136,0.221,0,0.062
1537407563.2062,99430346.132814,0.193,0,0.052
1537407623.2062,99445348.065660,0.175,0,0.058
1537407683.2062,100474482.952537,0.166,0,0.057
1537407743.2062,99949527.081310,0.184,0,0.081
1537407803.2062,100458729.298523,0.204,0,0.077
1537407863.2062,99446248.799664,0.210,0,0.072
1537407923.2062,100473573.032617,0.218,0,0.092
1537407983.2062,99444850.298606,0.194,0,0.077
1537408043.2062,101527275.663715,0.194,0,0.050
1537408103.2062,100494984.464035,0.209,0,0.070
1537408163.2062,100498482.052391,0.225,0,0.100
1537408223.2062,99461065.845204,0.197,0,0.075
1537408283.2062,99446035.466452,0.207,0,0.095
1537408343.2062,99975401.693033,0.167,0,0.047
1537408403.2062,100461625.876353,0.209,0,0.081
1537408463.2062,101015850.906264,0.192,0,0.077
1537408523.2062,99418641.607405,0.186,0,0.079
1537408583.2062,100496278.064235,0.197,0,0.072
1537408643.2062,100501812.174390,0.207,0,0.102
1537408703.2062,99479839.685126,0.199,0,0.075
1537408763.2062,99433829.590470,0.197,0,0.103
1537408823.2062,99444945.110994,0.186,0,0.049
1537408883.2062,100496469.711542,0.178,0,0.053
1537408943.2062,100976063.440317,0.188,0,0.046
1537409003.2062,101012311.367816,0.192,0,0.066
1537409063.2062,99425583.432660,0.209,0,0.075
1537409123.2062,99457888.698808,0.198,0,0.075
1537409183.2062,100474267.443698,0.173,0,0.075
1537409243.2062,99970993.008669,0.197,0,0.064
1537409303.2062,99458860.789213,0.223,0,0.097
1537409363.2062,99418712.679203,0.225,0,0.089
1537409423.2062,99459074.177456,0.187,0,0.032
1537409483.2062,100483511.208876,0.197,0,0.102
1537409543.2062,99992868.805295,0.184,0,0.060
1537409603.2062,99957102.238267,0.209,0,0.081
1537409663.2062,99432834.291948,0.208,0,0.076
1537409723.2062,100477787.537170,0.200,0,0.074
1537409783.2062,100498170.613417,0.199,0,0.060
1537409843.2062,100470747.596859,0.185,0,0.095
1537409903.2062,99449022.214719,0.216,0,0.058
1537409963.2062,100484229.707456,0.184,0,0.062
1537410023.2062,101024857.381078,0.180,0,0.097
1537410083.2062,100477284.651573,0.185,0,0.055
1537410143.2062,100475081.593051,0.220,0,0.076
1537410203.2062,99418309.940361,0.160,0,0.046
1537410263.2062,99975497.020233,0.199,0,0.084
1537410323.2062,101012431.756205,0.222,0,0.092
1537410383.2062,100498386.224809,0.190,0,0.051
1537410443.2062,99963010.704814,0.168,0,0.066
1537410503.2062,99433521.519751,0.194,0,0.073
1537410563.2062,99445940.651984,0.190,0,0.082
1537410623.2062,100986578.917779,0.216,0,0.090
1537410683.2062,99953123.946641,0.181,0,0.061
1537410743.2062,100495367.749511,0.189,0,0.068
1537410803.2062,100542222.255863,0.188,0,0.087
1537410863.2062,99456987.753936,0.209,0,0.065
1537410923.2062,99434706.417582,0.195,0,0.067
1537410983.2062,99458979.338124,0.182,0,0.046
1537411043.2062,99457177.425184,0.190,0,0.063
1537411103.2062,99971088.327462,0.191,0,0.074
1537411163.2062,99449045.919788,0.227,0,0.072
1537411223.2062,99948717.226809,0.215,0,0.086
1537411283.2062,99458173.211106,0.185,0,0.078
1537411343.2062,100493858.579857,0.175,0,0.063
1537411403.2062,100500206.980120,0.198,0,0.061
1537411463.2062,99444968.814119,0.204,0,0.073
1537411523.2062,99433924.381845,0.207,0,0.073
1537411583.2062,100497188.395451,0.214,0,0.050
1537411643.2062,101003331.203107,0.188,0,0.077
1537411703.2062,99431317.684895,0.212,0,0.034
1537411763.2062,101014935.899763,0.207,0,0.074
1537411823.2062,99457675.315653,0.198,0,0.080
1537411883.2062,99422384.860324,0.218,0,0.084
1537411943.2062,99960104.033177,0.168,0,0.046
1537412003.2062,99482334.073220,0.223,0,0.093
1537412063.2062,99431530.954966,0.175,0,0.077
1537412123.2062,100487942.113810,0.201,0,0.073
1537412183.2062,99956697.247995,0.177,0,0.058
1537412243.2062,99446059.170097,0.190,0,0.072
1537412303.2062,100978397.350333,0.197,0,0.049
1537412363.2062,99978881.253606,0.201,0,0.075
1537412423.2062,100446067.708675,0.198,0,0.105
1537412483.2062,100518285.194688,0.222,0,0.063
1537412543.2062,100460620.433716,0.200,0,0.071
1537412603.2062,100460021.965511,0.175,0,0.051
1537412663.2062,100474267.443698,0.199,0,0.053
1537412723.2062,99420299.975821,0.203,0,0.092
1537412783.2062,101020305.779984,0.187,0,0.064
1537412843.2062,99461255.532007,0.183,0,0.064
1537412903.2062,99458173.211106,0.211,0,0.062
1537412963.2062,99457580.478989,0.162,0,0.038
1537413023.2062,99458481.434599,0.199,0,0.049
1537413083.2062,99456987.753936,0.202,0,0.087
1537413143.2062,99431151.808805,0.211,0,0.082
1537413203.2062,99443973.292586,0.182,0,0.058
1537413263.2062,100470364.499161,0.199,0,0.068
1537413323.2062,101023821.795580,0.190,0,0.048
1537413383.2062,99945906.657117,0.240,0,0.069
1537413443.2062,99972494.300765,0.190,0,0.060
1537413503.2062,99419210.184630,0.200,0,0.090
1537413563.2062,99445063.626733,0.204,0,0.068
1537413623.2062,100470364.499161,0.209,0,0.078
1537413683.2062,99434730.115826,0.229,0,0.049
1537413743.2062,100546728.202694,0.190,0,0.056
1537413803.2062,100488349.297651,0.207,0,0.067
1537413863.2062,99963796.964713,0.178,0,0.060
1537413923.2062,99457580.478989,0.183,0,0.040
1537413983.2062,100486528.971960,0.192,0,0.089
1537414043.2062,99457178.371997,0.192,0,0.072
1537414103.2062,100498098.743159,0.197,0,0.054
1537414163.2062,100490241.548212,0.207,0,0.053
1537414223.2062,99445039.923563,0.209,0,0.082
1537414283.2062,100497595.654229,0.209,0,0.086
1537414343.2062,99943834.558658,0.239,0,0.067
1537414403.2062,99994222.449096,0.182,0,0.051
1537414463.2062,100483223.812322,0.212,0,0.087
1537414523.2062,99420015.680163,0.220,0,0.071
1537414583.2062,99454996.249507,0.216,0,0.064
1537414643.2062,100498601.837126,0.197,0,0.060
1537414703.2062,100533139.686436,0.228,0,0.083
1537414763.2062,100544211.533661,0.206,0,0.056
1537414823.2062,101008772.077406,0.224,0,0.065
1537414883.2062,100498793.493295,0.192,0,0.048
1537414943.2062,99445253.252504,0.233,0,0.085
1537415003.2062,100502914.277756,0.228,0,0.084
1537415063.2062,99424280.285754,0.198,0,0.066
1537415123.2062,100461625.876353,0.217,0,0.064
1537415183.2062,99457177.425184,0.175,0,0.049
1537415243.2062,99957793.111599,0.247,0,0.062
1537415303.2062,99446035.466452,0.223,0,0.102
1537415363.2062,99444968.814119,0.196,0,0.075
1537415423.2062,100497667.523767,0.214,0,0.074
1537415483.2062,100464331.095746,0.182,0,0.063
1537415543.2062,100484133.907051,0.217,0,0.070
1537415603.2062,100491870.377919,0.209,0,0.056
1537415663.2062,100465240.848277,0.196,0,0.078
1537415723.2062,100521615.094137,0.190,0,0.050
1537415783.2062,99451511.308659,0.180,0,0.066
1537415843.2062,99447362.887977,0.203,0,0.080
1537415903.2062,100472184.239251,0.217,0,0.060
1537415963.2062,100992234.599592,0.189,0,0.067
1537416023.2062,99460567.920789,0.225,0,0.036
1537416083.2062,100976568.710655,0.181,0,0.046
1537416143.2062,99937737.847741,0.217,0,0.068
1537416203.2062,99459192.726875,0.200,0,0.088
1537416263.2062,101023361.634192,0.182,0,0.056
1537416323.2062,100503728.891431,0.206,0,0.072
1537416383.2062,100501213.215307,0.207,0,0.064
1537416443.2062,99960008.735329,0.196,0,0.054
1537416503.2062,99420205.210421,0.189,0,0.062
1537416563.2062,100485738.587918,0.216,0,0.056
1537416623.2062,100483319.610991,0.212,0,0.097
1537416683.2062,100977073.986050,0.207,0,0.079
1537416743.2062,99418807.441757,0.189,0,0.093
1537416803.2062,100988480.118856,0.212,0,0.084
1537416863.2062,100497284.220749,0.184,0,0.074
1537416923.2062,99461374.086626,0.194,0,0.058
